Stock Solution c_S1=0.027893829345703128,c_Ion1=0.105,c_Stot=0.3060645740716982
	0	c_Stot	c_Iontot	c_S1	c_Ion1	Mcount	Scount	Ioncount
14	0.0115	0.011950231519276162	0.0119449791397948	0.011095703124999998	0.0115	3.971720438930975e-11	2.8556530057288754e-10	2.2842179536741725e-11
15	0.01225	0.012766094712757386	0.012755280287105144	0.011795410156250002	0.01225	6.401716127273198e-11	4.609850921127867e-10	3.8890132433855307e-11
16	0.013000000000000001	0.0135577892658025	0.013568255182760459	0.012466796875000002	0.013	9.89998257968371e-11	7.139449153398258e-10	6.330998225667628e-11
17	0.01375	0.014381029611449145	0.014386187222691636	0.013159179687500001	0.01375	1.5170751117643657e-10	1.0957293128388557e-09	1.0181549006671453e-10
18	0.0145	0.015208917930561793	0.01520801747644644	0.013848632812500001	0.0145	2.2758945682957244e-10	1.6463362860485997e-09	1.5986761740804933e-10
19	0.01525	0.016041482980826253	0.01603375748922943	0.01453515625	0.01525	3.3496052662555204e-10	2.4268121158466105e-09	2.4567626058513703e-10
20	0.016	0.016878754095814227	0.01686341915045872	0.01521875	0.016	4.845331426549723e-10	3.5160060037064955e-09	3.7027330507255485e-10
21	0.01675	0.017682263948066868	0.017694945082610183	0.01586669921875	0.01675	6.797112905401981e-10	4.939809492010561e-09	5.401443667341077e-10
22	0.0175	0.01852700904687912	0.018532284480325834	0.016542968749999998	0.0175	9.54047959520735e-10	6.9447626538376994e-09	7.870218400596318e-10
23	0.01825	0.019376522254160273	0.019373572548091755	0.017216308593749997	0.01825	1.3216122422382114e-09	9.636182352057432e-09	1.1299669325226525e-09
24	0.019	0.02023083492597121	0.020218822433366406	0.017886718750000002	0.019	1.808776444607056e-09	1.3210329864732362e-08	1.6005464661961177e-09
25	0.01975	0.021066588466561675	0.02106657517404436	0.018534912109375003	0.01975	2.4294878294419526e-09	1.777324274906955e-08	2.221996975304563e-09
26	0.0205	0.021905060736620362	0.021918070564565177	0.0191787109375	0.0205	3.2294694039767657e-09	2.3665847510845328e-08	3.0491847241576053e-09
27	0.02125	0.022771786446810174	0.022775030210994338	0.019838867187499998	0.02125	4.2844393460135684e-09	3.145320598071932e-08	4.1716354502729924e-09
28	0.022000000000000002	0.02364341197326732	0.023635996372770984	0.020496093749999996	0.022	5.6336070384516395e-09	4.14343796356631e-08	5.651026469682963e-09
29	0.02275	0.02451997180762981	0.0245009839864401	0.021150390625	0.02275	7.346351974413698e-09	5.413475275689583e-08	7.584867178778154e-09
30	0.0235	0.025343677834629725	0.02536571310378203	0.021755859375	0.0235	9.359025362408525e-09	6.909401435717388e-08	9.936756781986356e-09
31	0.02425	0.026227902294710448	0.02623848339029359	0.022402832031250004	0.02425	1.2021745191105274e-08	8.893453664476914e-08	1.3116910137916937e-08
32	0.025	0.027117135264511042	0.02711530989209072	0.023046875	0.025	1.5337398951502e-08	1.137075994819825e-07	1.718606877990081e-08
