	x	y	T	K	G_plusfac	yhat	G	G_fit	K	H	cp
36	8	1	305	22638271.432305988	-14.849584325494812	-14.855710916541435	-16.929025867174648	-16.93515245822127	22638271.432305988	131.5447800899565	7.1299348504680555
37	8	2	305	660500027.362064	-16.91141132047367	-16.97630321317774	-20.24361583064887	-20.308507723352943	660500027.362064	130.85111684654433	6.553875103009063
38	8	3	305	11011953488.960724	-18.97825363025799	-19.096895509814043	-23.003605320993138	-23.122247200549193	11011953488.960724	130.15745360313215	5.97781535555007
39	8	4	305	114745566445.451	-21.033896842383736	-21.217487806450343	-25.282392084433095	-25.4659830484997	114745566445.451	129.46379035972	5.401755608091078
40	8	5	305	765221976331.0403	-23.167164463007033	-23.33808010308665	-27.192516153742183	-27.3634317938218	765221976331.0403	128.77012711630783	4.825695860632084
41	8	6	305	3189473301667.561	-25.148967535122956	-25.458672399722953	-28.48117204529816	-28.790876909898156	3189473301667.561	128.07646387289566	4.249636113173091
42	8	7	305	7596481063535.698	-27.736506623774527	-27.579264696359257	-29.815948165454362	-29.65870623803909	7596481063535.698	127.38280062948348	3.6735763657140987
43	8	8	305	7915603017224.658	-30.915684681334753	-29.69985699299556	-30.915684681334753	-29.69985699299556	7915603017224.658	126.68913738607131	3.0975166182551055
44	9	0	305	4803295.539700352	-14.956543562516336	-15.384812811067137	-14.956543562516336	-15.384812811067137	4803295.539700352	163.20438153988496	11.310585931813197
45	9	1	305	360365619.9633005	-17.45309671769066	-17.505405107703442	-19.650321295026878	-19.70262968503966	360365619.9633005	162.5107182964728	10.734526184354204
46	9	2	305	12016137113.287504	-19.771635738626948	-19.625997404339746	-23.355154677083057	-23.209516342795855	12016137113.287504	161.8170550530606	10.15846643689521
47	9	3	305	233723937090.1994	-21.8945678589828	-21.74658970097605	-26.325384657826113	-26.177406499819362	233723937090.1994	161.12339180964844	9.582406689436219
48	9	4	305	2922509861324.204	-23.9065967243952	-23.867181997612352	-28.742878631346677	-28.70346390456383	2922509861324.204	160.4297285662363	9.006346941977226
49	9	5	305	24362256874131.7	-25.989322341276228	-25.98777429424866	-30.825604248227705	-30.824056201200136	24362256874131.7	159.73606532282412	8.430287194518232
50	9	6	305	135390375205839.17	-27.97932781019676	-28.10836659088496	-32.410144609040074	-32.53918338972827	135390375205839.17	159.04240207941194	7.854227447059239
51	9	7	305	483696048293502.7	-30.191687811598086	-30.228958887521262	-33.775206750054195	-33.812477825977375	483696048293502.7	158.34873883599977	7.278167699600247
52	9	8	305	1008031446999915.5	-32.390341981743894	-32.34955118415756	-34.587566559080116	-34.546775761493784	1008031446999915.5	157.6550755925876	6.702107952141254
53	9	9	305	933669354018395.6	-34.624954091151736	-34.47014348079387	-34.624954091151736	-34.47014348079387	933669354018395.6	156.96141234917542	6.12604820468226
54	10	1	305	221328122.75718793	-20.360860218298694	-16.912571783741747	-22.66344531129274	-19.215156876735794	221328122.75718793	95.0251096599879	-3.834814019703296
55	10	2	305	19213216915.158936	-22.47728497819162	-19.872201770382166	-26.283947467961937	-23.678864260152487	19213216915.158936	90.95079235365719	-4.047475657925446
56	10	3	305	988370534993.5321	-24.42867459301156	-22.831831757022584	-29.216166335793606	-27.61932349980463	988370534993.5321	86.87647504732648	-4.2601372961475965
57	10	4	305	33366358386745.945	-26.314608120356723	-25.791461743663	-31.661715651074193	-31.13856927438047	33366358386745.945	82.80215774099577	-4.472798934369747
58	10	5	305	772397799691917.9	-28.51832431092945	-28.75109173030342	-34.047753398440875	-34.28052081781484	772397799691917.9	78.72784043466507	-4.685460572591897
59	10	6	305	1.2416830525446242e+16	-30.700180858037353	-31.710721716943834	-36.04728838875482	-37.0578292476613	1.2416830525446242e+16	74.65352312833436	-4.898122210814048
60	10	7	305	1.3687485640243872e+17	-33.17554730672179	-34.67035170358425	-37.963039049503834	-39.4578434463663	1.3687485640243872e+17	70.57920582200364	-5.110783849036197
61	10	8	305	9.901612266629842e+17	-35.45061277643546	-37.62998169022467	-39.25727526620578	-41.436644179994985	9.901612266629842e+17	66.50488851567293	-5.323445487258348
62	10	9	305	4.2446743199755996e+18	-37.47263326474659	-40.58961167686509	-39.775218357740634	-42.89219676985913	4.2446743199755996e+18	62.43057120934222	-5.536107125480498
63	10	10	305	8.188330161666395e+18	-39.27497484330518	-43.549241663505505	-39.27497484330518	-43.549241663505505	8.188330161666395e+18	58.356253903011506	-5.748768763702649
64	11	0	305	13699384.917768154	-20.04204722725174	-16.4328614932772	-20.04204722725174	-16.4328614932772	13699384.917768154	104.54688431483648	-4.029646875844162
65	11	1	305	2906997948.2193065	-23.274130454526208	-19.39249147991762	-25.67202572732458	-21.79038675271599	2906997948.2193065	100.47256700850576	-4.242308514066313
66	11	2	305	280392053487.90344	-25.556657568475654	-22.35212146655804	-29.563990753708126	-26.35945465179051	280392053487.90344	96.39824970217505	-4.454970152288463
67	11	3	305	16226988472555.691	-27.643069454444724	-25.311751453198458	-32.749014928345304	-30.417696927099037	16226988472555.691	92.32393239584434	-4.6676317905106135
68	11	4	305	626064235446946.8	-29.81126735673035	-28.271381439838873	-35.61036001119088	-34.0704740942994	626064235446946.8	88.24961508951364	-4.880293428732763
69	11	5	305	1.6908220480841076e+16	-32.03287159828291	-31.23101142647929	-38.16843648936465	-37.36657631756103	1.6908220480841076e+16	84.17529778318291	-5.0929550669549135
70	11	6	305	3.26173650335965e+17	-34.31941356643638	-34.190641413119714	-40.45497845751812	-40.32620630420145	3.26173650335965e+17	80.10098047685221	-5.305616705177064
71	11	7	305	4.494400912183461e+18	-36.49758994880191	-37.15027139976013	-42.29668260326243	-42.94936405422065	4.494400912183461e+18	76.0266631705215	-5.518278343399214
72	11	8	305	4.335036774748887e+19	-38.72013233412241	-40.109901386400544	-43.826077808022994	-45.21584686030113	4.335036774748887e+19	71.95234586419079	-5.730939981621365
73	11	9	305	2.7875489534073464e+20	-40.98015781269767	-43.06953137304096	-44.98749099793014	-47.07686455827343	2.7875489534073464e+20	67.87802855786008	-5.943601619843514
74	11	10	305	1.0754828027625161e+21	-43.201249871440524	-46.02916135968138	-45.599145144238896	-48.427056632479754	1.0754828027625161e+21	63.803711251529364	-6.156263258065666
75	11	11	305	1.8860871526319147e+21	-44.930843962265484	-48.988791346321804	-44.930843962265484	-48.988791346321804	1.8860871526319147e+21	59.72939394519866	-6.368924896287815
76	12	1	305	41089249901.867645	-24.63861663246723	-21.954105714882665	-27.12352328225523	-24.439012364670667	41089249901.867645	105.56748505694233	-4.6225604777286495
77	12	2	305	4359552121339.294	-27.612671977260355	-24.913735701523084	-31.80232671928678	-29.103390443549507	4359552121339.294	101.49316775061162	-4.8352221159508
78	12	3	305	280331300162228.0	-30.09293824749185	-27.873365688163503	-35.486565793844214	-33.266993234515866	280331300162228.0	97.4188504442809	-5.04788375417295
79	12	4	305	1.2167604394391102e+16	-31.966527734967535	-30.832995674803918	-38.171085497536225	-37.03755343737261	1.2167604394391102e+16	93.34453313795021	-5.2605453923951
80	12	5	305	3.755571506212142e+17	-34.52606974364157	-33.79262566144433	-41.200631135456	-40.46718705325876	3.755571506212142e+17	89.27021583161948	-5.4732070306172504
81	12	6	305	8.452278464853651e+18	-36.68087766468045	-36.752255648084756	-43.509589736322134	-43.58096771972644	8.452278464853651e+18	85.19589852528878	-5.685868668839401
82	12	7	305	1.3975841887904337e+20	-38.94635755197403	-39.71188563472517	-45.62091894378846	-46.3864470265396	1.3975841887904337e+20	81.12158121895807	-5.898530307061551
83	12	8	305	1.685035161691524e+21	-41.03193408222138	-42.671515621365586	-47.23649184479007	-48.876073383934276	1.685035161691524e+21	77.04726391262736	-6.111191945283702
84	12	9	305	1.4446991634267233e+22	-43.53727277082659	-45.63114560800601	-48.93090031717895	-51.02477315435837	1.4446991634267233e+22	72.97294660629665	-6.323853583505851
85	12	10	305	8.36083490228001e+22	-46.10911276709425	-48.59077559464642	-50.29876750912068	-52.78043033667285	8.36083490228001e+22	68.89862929996593	-6.536515221728003
86	12	11	305	2.9324993861289987e+23	-48.29418302880525	-51.550405581286846	-50.77908967859325	-54.03531223107485	2.9324993861289987e+23	64.82431199363523	-6.749176859950152
87	13	0	305	2470593682.886942	-26.707202117633603	-21.62772431614918	-26.707202117633603	-21.62772431614918	2470593682.886942	114.48186110296172	-4.7552486097574995
88	13	1	305	619577518074.4253	-28.57162915545341	-24.5873543027896	-31.136578512914948	-27.152303660251135	619577518074.4253	110.407543796631	-4.96791024797965
89	13	2	305	71712996988212.61	-30.389081737605423	-27.546984289430018	-34.745790564295014	-31.90369311611961	71712996988212.61	106.33322649030029	-5.1805718862018
90	13	3	305	5072479199048001.0	-32.676024053529005	-30.506614276070437	-38.33201586434886	-36.16260608689029	5072479199048001.0	102.25890918396958	-5.39323352442395
91	13	4	305	2.446308673466646e+17	-35.25268556691906	-33.46624426271085	-41.82496810961307	-40.03852680540486	2.446308673466646e+17	98.18459187763887	-5.6058951626461
92	13	5	305	8.494439585757112e+18	-37.7490684760875	-36.42587424935127	-44.909137683683625	-43.58594345694739	8.494439585757112e+18	94.11027457130817	-5.818556800868251
93	13	6	305	2.1848641575531935e+20	-40.034261826369665	-39.38550423599169	-47.482013106417575	-46.8332555160396	2.1848641575531935e+20	90.03595726497745	-6.031218439090401
94	13	7	305	4.214784864940934e+21	-42.2649448304574	-42.345134222632105	-49.71269611050531	-49.792885502680015	4.214784864940934e+21	85.96163995864674	-6.243880077312552
95	13	8	305	6.098003185800773e+22	-44.618480399871984	-45.30476420927252	-51.77854960746811	-52.46483341686864	6.098003185800773e+22	81.88732265231603	-6.456541715534702
96	13	9	305	6.535308803479328e+23	-46.96939021602171	-48.26439419591294	-53.54167275871571	-54.83667673860695	6.535308803479328e+23	77.81300534598532	-6.669203353756853
97	13	10	305	5.042861916590212e+24	-49.29680417066962	-51.22402418255336	-54.95279598148947	-56.880015993373206	5.042861916590212e+24	73.7386880396546	-6.881864991979002
