Temperature=300.0
	x	y	K	H
827	20	10.0	5.324181467703176e+34	145.53758912421569
828	20	11.0	9.426299479394112e+35	142.52658000899572
829	20	12.0	1.3768402897560655e+37	139.51557089377576
830	20	13.0	1.6501038208745266e+38	136.5045617785558
831	20	14.0	1.6068019253486046e+39	133.49355266333586
832	20	15.0	1.2517090838251229e+40	130.4825435481159
833	20	16.0	7.617886449110716e+40	127.47153443289594
834	20	17.0	3.490813396793267e+41	124.46052531767597
835	20	18.0	1.1330692481372555e+42	121.44951620245601
836	21	6.0	1.8665404088109536e+30	162.05978697978804
837	21	7.0	7.789537719673206e+31	159.04877786456808
838	21	8.0	2.6547938478317165e+33	156.03776874934812
839	21	9.0	7.468144537031516e+34	153.02675963412815
840	21	10.0	1.745319857198927e+36	150.0157505189082
841	21	11.0	3.3990386197761525e+37	147.00474140368823
842	21	12.0	5.5164021898695536e+38	143.99373228846827
843	21	13.0	7.437657038763546e+39	140.9827231732483
844	21	14.0	8.277118427361627e+40	137.97171405802837
845	21	15.0	7.522583536884844e+41	134.9607049428084
846	21	16.0	5.4938823656515385e+42	131.94969582758844
847	21	17.0	3.146889608183488e+43	128.93868671236848
848	21	18.0	1.3619151897724283e+44	125.92767759714852
849	21	19.0	4.18792395089818e+44	122.91666848192857
850	22	5.0	8.144898473115275e+29	169.40408841453106
851	22	6.0	4.494324387508095e+31	166.3930792993111
852	22	7.0	2.0006329957138422e+33	163.38207018409113
853	22	8.0	7.305497028647468e+34	160.37106106887117
854	22	9.0	2.2131780989060046e+36	157.3600519536512
855	22	10.0	5.603260135656084e+37	154.34904283843125
856	22	11.0	1.1904479609504527e+39	151.3380337232113
857	22	12.0	2.1252152507345612e+40	148.32702460799135
858	22	13.0	3.1837623356802562e+41	145.31601549277138
859	22	14.0	3.985989805608517e+42	142.30500637755142
860	22	15.0	4.1401490907740183e+43	139.29399726233146
861	22	16.0	3.5275656691197113e+44	136.2829881471115
862	22	17.0	2.4247027528091877e+45	133.27197903189153
863	22	18.0	1.3117077181331777e+46	130.26096991667157
864	22	19.0	5.378046259758468e+46	127.24996080145162
865	22	20.0	1.57107479701744e+47	124.23895168623166
866	22	21.0	2.913993857066915e+47	121.2279425710117
867	23	6.0	1.0813222096914808e+33	170.60113156668072
868	23	7.0	5.114310292838234e+34	167.59012245146076
869	23	8.0	1.9920403847092387e+36	164.5791133362408
870	23	9.0	6.4658847219819695e+37	161.56810422102083
871	23	10.0	1.762938094501119e+39	158.55709510580087
872	23	11.0	4.0575959527615165e+40	155.54608599058093
873	23	12.0	7.902233673671101e+41	152.53507687536097
874	23	13.0	1.3022077327089539e+43	149.524067760141
875	23	14.0	1.811478998776555e+44	146.51305864492105
876	23	15.0	2.1167307701306506e+45	143.50204952970108
877	23	16.0	2.061183686665216e+46	140.49104041448112
878	23	17.0	1.6529011597606106e+47	137.48003129926116
879	23	18.0	1.0730172377908232e+48	134.4690221840412
880	23	19.0	5.499258964651634e+48	131.45801306882123
881	23	20.0	2.1419791362484737e+49	128.44700395360127
882	23	21.0	5.95934139180675e+49	125.43599483838132
883	24	6.0	2.5930836394844986e+34	174.7025875643606
884	24	7.0	1.2985900154971268e+36	171.69157844914065
885	24	8.0	5.374178200582539e+37	168.6805693339207
886	24	9.0	1.8606753550893532e+39	165.66956021870072
887	24	10.0	5.435542973450842e+40	162.65855110348076
888	24	11.0	1.3472846238683108e+42	159.6475419882608
889	24	12.0	2.8425134531029005e+43	156.63653287304084
890	24	13.0	5.110006960956299e+44	153.62552375782087
891	24	14.0	7.819288019070188e+45	150.61451464260094
892	24	15.0	1.0152126498512016e+47	147.60350552738097
893	24	16.0	1.1121429586769564e+48	144.592496412161
894	24	17.0	1.0192547671151048e+49	141.58148729694105
895	24	18.0	7.719503269041602e+49	138.57047818172109
896	24	19.0	4.747533895243242e+50	135.55946906650115
897	24	20.0	2.311474740871667e+51	132.5484599512812
898	24	21.0	8.574541719404362e+51	129.53745083606123
899	24	22.0	2.2771443451720098e+52	126.52644172084126
900	25	7.0	3.2677360801001537e+37	175.70427608063636
901	25	8.0	1.4318929823542673e+39	172.6932669654164
902	25	9.0	5.267421132494558e+40	169.68225785019644
